logCPM	PValue	FDR	log2FoldChange
HNRNPA1	10.6946064088875	1.72515501517594e-32	3.40848809059005e-31	-1.4157
TIMM44	5.53177963082112	1.93632378203362e-32	3.8215704826817e-31	-1.6487
EXOSC3	5.12213381971829	1.96192305896972e-32	3.86791224239213e-31	-1.2794
ZNF271P	4.52093571944201	2.00393114657518e-32	3.94646893332001e-31	-1.4858
HNRNPU	9.95353942955534	2.03368112682463e-32	4.00074166501189e-31	-1.3951
NCLN	5.27382204426918	2.13778684205801e-32	4.2010157791831e-31	-1.4286
SDAD1	6.06771569100306	2.30884078884038e-32	4.53227929473872e-31	-1.1466
SRSF3	8.05777755632578	2.36392624746823e-32	4.63542831082491e-31	-1.321
CYB5B	7.08446679735524	3.01361141691847e-32	5.884116580456e-31	-1.148
PRMT5	6.64985330716388	3.56562769106095e-32	6.93966941663207e-31	-1.1772
SGOL2	6.36121258106593	3.71394676947861e-32	7.22064027940377e-31	-1.1799
EIF3J	7.16809079776046	4.29938171773349e-32	8.31456701683713e-31	-1.2492
PALLD	6.43490818234245	4.36254763036879e-32	8.42779571851985e-31	-1.2594
WDR62	3.6765746623247	4.46755738900399e-32	8.6215356970039e-31	-1.9465
FDX1L	4.24419638452043	4.63200344574188e-32	8.92002688876201e-31	-1.7109
NHP2	6.59437388058578	5.46456277831472e-32	1.0468106829057e-30	-1.192
EPB41L4A	3.11348374757492	7.66326860846812e-32	1.46034062334232e-30	-2.3167
RBMX	8.03939995941039	9.21581335589253e-32	1.75071684313396e-30	-1.124
TRMT6	5.73827944908004	9.41314271061006e-32	1.78634442125673e-30	-1.2567
GLRX5	6.56588132303016	1.18765208832423e-31	2.24914694237004e-30	-1.1556
PUS7	5.95649381878099	1.22994941814174e-31	2.32202239685579e-30	-1.1729
LINC00704	2.54638540261735	1.26261634377184e-31	2.38066338426827e-30	-2.859
FAM83D	6.05100598093427	1.26728103336386e-31	2.38510129330832e-30	-1.1872
PRKACA	5.16945794382834	1.40219872988375e-31	2.63359465151829e-30	-1.2411
PITPNM3	5.05252926209018	1.46798347790681e-31	2.7514893606434e-30	-1.4342
PHAX	5.7438457529601	1.49719982375464e-31	2.80049999820334e-30	-1.4659
FDFT1	7.38928151560003	1.51091212749137e-31	2.82325606954784e-30	-1.1034
STK32A	3.70184222074983	1.56520579263021e-31	2.92171747957638e-30	-1.8282
MRPL20	6.13616806768332	2.21242986536441e-31	4.1005197585881e-30	-1.2948
MYBL2	6.68765326768724	2.76947132188472e-31	5.1225398634577e-30	-1.3392
